"","u","v","f2","sig.level","power"
"1",1,6,0.0569188693588323,0.05,0.0884547863886383
"2",1,6,0.569188693588323,0.05,0.434076018535176
"3",1,6,1.13837738717665,0.05,0.711673121849896
"4",1,6,2.84594346794162,0.05,0.975410433140314
"5",1,6,0.0569188693588323,0.01,0.0206858892382278
"6",1,6,0.569188693588323,0.01,0.163036977202624
"7",1,6,1.13837738717665,0.01,0.361584889962582
"8",1,6,2.84594346794162,0.01,0.800770837612643
"9",1,6,0.0569188693588323,0.005,0.0108253080376417
"10",1,6,0.569188693588323,0.005,0.0984911799718434
"11",1,6,1.13837738717665,0.005,0.242185077865841
"12",1,6,2.84594346794162,0.005,0.662600943582878
